scRNASeq_sample_ID,CellType,CellType_Count,TotalPBMC_Count,Percentage
S00078-Ja003E-PBCa,PB,81,7728,1.048
S00078-Ja003E-PBCa,PLT,3,7728,0.039
S00078-Ja003E-PBCa,T,4617,7728,59.744
S00094-Ja005E-PBCa,B,409,4929,8.298
S00094-Ja005E-PBCa,ERYTH,33,4929,0.67
S00094-Ja005E-PBCa,HSC,3,4929,0.061
S00094-Ja005E-PBCa,MNP,1345,4929,27.287
S00094-Ja005E-PBCa,MNP|PLT,17,4929,0.345
S00094-Ja005E-PBCa,NK,419,4929,8.501
S00094-Ja005E-PBCa,PB,47,4929,0.954
S00094-Ja005E-PBCa,PLT,17,4929,0.345
S00094-Ja005E-PBCa,T,2639,4929,53.54
S00095-Ja005E-PBCa,B,210,3088,6.801
S00095-Ja005E-PBCa,ERYTH,0,3088,0
S00095-Ja005E-PBCa,HSC,21,3088,0.68
S00095-Ja005E-PBCa,MNP,879,3088,28.465
S00095-Ja005E-PBCa,MNP|PLT,12,3088,0.389
S00095-Ja005E-PBCa,NK,155,3088,5.019
S00095-Ja005E-PBCa,PB,34,3088,1.101
S00095-Ja005E-PBCa,PLT,30,3088,0.972
S00095-Ja005E-PBCa,T,1747,3088,56.574
S00099-Ja005E-PBCa,B,28,2402,1.166
S00099-Ja005E-PBCa,ERYTH,2,2402,0.083
S00099-Ja005E-PBCa,HSC,13,2402,0.541
S00099-Ja005E-PBCa,MNP,1088,2402,45.296
S00099-Ja005E-PBCa,MNP|PLT,20,2402,0.833
S00099-Ja005E-PBCa,NK,152,2402,6.328
S00099-Ja005E-PBCa,PB,27,2402,1.124
S00099-Ja005E-PBCa,PLT,8,2402,0.333
S00099-Ja005E-PBCa,T,1064,2402,44.296
S00104-Ja003E-PBCa,B,601,8124,7.398
S00104-Ja003E-PBCa,ERYTH,0,8124,0
S00104-Ja003E-PBCa,HSC,3,8124,0.037
S00104-Ja003E-PBCa,MNP,1594,8124,19.621
S00104-Ja003E-PBCa,MNP|PLT,20,8124,0.246
S00104-Ja003E-PBCa,NK,547,8124,6.733
S00104-Ja003E-PBCa,PB,77,8124,0.948
S00104-Ja003E-PBCa,PLT,13,8124,0.16
S00104-Ja003E-PBCa,T,5269,8124,64.857
S00106-Ja003E-PBCa,B,243,6716,3.618
