symbol	rna_row_1based	rna_feature_id	adt_row_1based	adt_feature_id
NCR3	10624	ENSG00000204475	33773	CD337
NECTIN2	31413	ENSG00000130202	33806	CD112
NGFR	27859	ENSG00000064300	33745	CD271
NOTCH1	16888	ENSG00000148400	33752	NOTCH1
NOTCH3	30658	ENSG00000074181	33753	NOTCH3
NRP1	19179	ENSG00000099250	33561	CD304
NT5E	11160	ENSG00000135318	33642	CD73
OLR1	20339	ENSG00000173391	33565	LOX1
PDCD1	5433	ENSG00000188389	33683	PD1
PDCD1LG2	15793	ENSG00000197646	33581	CD273
PDGFRA	7574	ENSG00000134853	33567	CD140a
PDGFRB	9811	ENSG00000113721	33569	CD140b
PDPN	314	ENSG00000162493	33761	PDPN
PECAM1	28095	ENSG00000261371	33817	CD31
PRNP	29260	ENSG00000171867	33592	CD230
PROCR	29581	ENSG00000101000	33776	CD201
PROM1	7361	ENSG00000007062	33787	CD133
PTGDR2	17807	ENSG00000183134	33658	CD294
PVR	31406	ENSG00000073008	33792	CD155
SDC1	3362	ENSG00000115884	33675	CD138
SELE	2301	ENSG00000007908	33704	CD62E
SELL	2300	ENSG00000188404	33676	CD62L
SELP	2298	ENSG00000174175	33644	CD62P
SELPLG	21481	ENSG00000110876	33731	CD162
SIGLEC1	29241	ENSG00000088827	33620	CD169
SIGLEC7	31711	ENSG00000168995	33614	CD328
SIRPA	29203	ENSG00000198053	33564	CD172a
SLAMF1	2165	ENSG00000117090	33639	CD150
SLAMF6	2162	ENSG00000162739	33766	CD352
SLAMF7	2168	ENSG00000026751	33566	CD319
SLC3A2	17900	ENSG00000168003	33746	CD98
SPN	25693	ENSG00000197471	33670	CD43
TEK	15919	ENSG00000120156	33587	CD202b
TFRC	7111	ENSG00000072274	33674	CD71
THBD	29429	ENSG00000178726	33743	CD141
THY1	18705	ENSG00000154096	33611	CD90
TIGIT	6344	ENSG00000181847	33640	TIGIT
TIMD4	9872	ENSG00000145850	33635	TIM4
TLR4	16563	ENSG00000136869	33718	CD284
TNF	10621	ENSG00000232810	33744	TNFalpha
TNFRSF13B	27039	ENSG00000240505	33571	CD267
TNFRSF13C	32822	ENSG00000159958	33557	CD268
TNFRSF14	103	ENSG00000157873	33560	CD270
TNFRSF17	25426	ENSG00000048462	33570	BCMA
TNFRSF18	38	ENSG00000186891	33554	CD357
TNFRSF4	39	ENSG00000186827	33655	CD134
TNFRSF8	274	ENSG00000120949	33663	CD30
TNFRSF9	190	ENSG00000049249	33596	CD137
TNFSF10	6864	ENSG00000121858	33777	CD253
TNFSF11	22101	ENSG00000120659	33754	CD254
TNFSF13B	22462	ENSG00000102524	33576	BAFF
TNFSF4	2338	ENSG00000117586	33558	CD252
TNFSF9	30326	ENSG00000125657	33613	CD137L
TPSAB1	25150	ENSG00000172236	33641	mast.cell.tryptase
TREM1	10845	ENSG00000124731	33796	CD354
TSPAN33	12926	ENSG00000158457	33789	TSPAN33
VCAM1	1446	ENSG00000162692	33793	CD106
VPREB1	32328	ENSG00000169575	33717	CD179a
VTCN1	1648	ENSG00000134258	33756	B7-H4
XCR1	5816	ENSG00000173578	33786	XCR1
