rna,protein,means_only,rna_patterns,protein_patterns,both_patterns,independence,both_minus_means
CD33,CD38,0.017644801695848204,0.017121549778698095,0.017020466253631558,0.016329216629954343,0.01981198693172554,-0.0013155850658938609
CD33,CD44,0.020576573917989352,0.01935934434981009,0.019213761371162607,0.01806272094165369,0.023575181498512565,-0.002513852976335662
CD33,CD47,0.019497239701123267,0.019517887435146337,0.02080820311635181,0.02211772589528826,0.019512648915991578,0.002620486194164995
CD33,CD52,0.0202352302958997,0.021967966514416595,0.021567284488688162,0.023083577225505005,0.018116585514496988,0.002848346929605304
CD38,CD4,0.023194923515249197,0.0214407861914861,0.02255217101932016,0.020972639097189483,0.024020814252436976,-0.0022222844180597133
CD38,CD7,0.020756871288134863,0.017202416197662298,0.017828150546954556,0.016470819743685625,0.019971081924858882,-0.004286051544449238
CD38,CD14,0.022742840685398367,0.022170510103737582,0.02192592947849516,0.021705247321657458,0.02157966422011614,-0.0010375933637409088
CD38,CD19,0.019111771749784994,0.018983584751477968,0.017152191616050614,0.01776763483281909,0.01921956553040896,-0.0013441369169659052
CD38,CD33,0.016775407586835267,0.016603285640343583,0.015219635434091817,0.01566323639145883,0.01531307889101165,-0.0011121711953764359
CD38,CD38,0.021230963224661933,0.021096591870742868,0.019388429935079086,0.019536422382191717,0.04383485734059392,-0.0016945408424702164
CD38,CD44,0.018872859933887876,0.019207003535532126,0.01659129483939398,0.016802592741844712,0.018890737278207028,-0.0020702671920431633
CD38,CD47,0.02821658439369926,0.027868257562822688,0.0206140207804772,0.020835799194790307,0.02014559799180505,-0.007380785198908953
CD38,CD52,0.020057418289126314,0.01914204743830076,0.017850625541704336,0.017598727342060708,0.016777759256684174,-0.002458690947065606
CD44,CD4,0.023530636350307742,0.021727696507187654,0.01956859510390541,0.0187090411574362,0.03611600813065348,-0.004821595192871543
CD44,CD7,0.012722250438034577,0.014367779692930356,0.012135721032888529,0.013742265838866861,0.01605891530289216,0.0010200154008322849
CD44,CD14,0.023221598866620577,0.021906486486029306,0.022754917481492866,0.02163771367294359,0.022876163147027898,-0.0015838851936769878
CD44,CD19,0.012586351948497205,0.011831291829934941,0.013045863531550126,0.011658700874898183,0.011973814733635152,-0.0009276510735990225
CD44,CD33,0.016366300277835807,0.014296110669070718,0.015260790986800821,0.013270283927182398,0.016868827641525305,-0.003096016350653409
CD44,CD38,0.01791776232127587,0.016858495096218964,0.01639117179662544,0.014806089457759632,0.015464824073924039,-0.0031116728635162388
CD44,CD44,0.017273729526430595,0.016516500344340948,0.017743653226929057,0.016155886666007827,0.03543580684316808,-0.0011178428604227686
CD44,CD47,0.015815917192653947,0.015556628755638709,0.01679763029666573,0.016725087484223137,0.015802543345149404,0.0009091702915691897
CD44,CD52,0.011049555198239396,0.010499828400923018,0.011086395632344216,0.011473254310211685,0.013524321860517797,0.0004236991119722887
CD47,CD4,0.02727074267624574,0.025486364325367102,0.0266699670095409,0.025195412561361704,0.02516019216810561,-0.0020753301148840365
CD47,CD7,0.019139898084774124,0.018976336065376152,0.01928284634364214,0.01921070544207568,0.019401201278963633,7.080735730155552e-05
CD47,CD14,0.027040705897957665,0.02688970281261446,0.026898189198827995,0.026115205520407168,0.026328934862943274,-0.000925500377550497
CD47,CD19,0.022935460209013846,0.022549553879771932,0.022081394141306037,0.0222059935182615,0.020910294469379694,-0.0007294666907523457
CD47,CD33,0.017818327250263312,0.01741461675398914,0.0176165477365863,0.017320921875325166,0.01777994112094564,-0.0004974053749381459
CD47,CD38,0.019653315088164928,0.0206901896809377,0.019519925993461803,0.019491259497536387,0.020032704084073615,-0.00016205559062854036
CD47,CD44,0.020237723512348902,0.020775440361956724,0.020317667149240402,0.02041553172840031,0.02081805045982299,0.00017780821605140745
CD47,CD47,0.023470747478536988,0.022559161454351072,0.02411976586573108,0.023472495888319976,0.02277624047921696,1.748409782988125e-06
CD47,CD52,0.02981095160248465,0.02579242361967039,0.029504831346103086,0.02400099187344771,0.030554195493662326,-0.005809959729036942
CD52,CD4,0.03246096008846992,0.03243605836979035,0.028062619776325935,0.027033089876532027,0.04471699863816152,-0.005427870211937896
CD52,CD7,0.10674450173797526,0.04065459769459841,0.06473749986627873,0.027064358945418088,0.07570520943239643,-0.07968014279255717
CD52,CD14,0.03497074046757497,0.03492829223712898,0.0312788495808194,0.03311398889303125,0.022807137426813926,-0.0018567515745437219
CD52,CD19,0.021474809832502138,0.0156898876047364,0.01519323087725878,0.012896198693279893,0.015187807435196342,-0.008578611139222245
CD52,CD33,0.019742355467924973,0.016784623986641718,0.01964093904627283,0.016522671860207155,0.016318987375682145,-0.003219683607717818
CD52,CD38,0.04124620345788729,0.03353022655120714,0.02390323179440164,0.02066557950798452,0.018342671868332536,-0.020580623949902774
CD52,CD44,0.038303897662862345,0.040035043150619516,0.032410134783724696,0.0314149607604747,0.022215442798415575,-0.006888936902387642
