method,donor,pair,status,deviance,interval_covered,interval_width
original_hierarchy,C-8821,61,SCORED,0.00016155338628856541,,
original_hierarchy,C-8821,62,SCORED,0.0007532677163334615,,
original_hierarchy,C-8821,63,SCORED,0.0069515232760126375,,
original_hierarchy,C-8821,64,SCORED,0.00025509203381369507,,
original_hierarchy,C-8821,65,SCORED,0.0034408589563417018,,
original_hierarchy,C-8821,66,SCORED,0.0036478948258427332,,
original_hierarchy,C-8821,67,SCORED,0.006461710930561616,,
original_hierarchy,C-8821,68,SCORED,0.022389443130998943,,
original_hierarchy,C-8821,69,SCORED,0.0018142513690366548,,
original_hierarchy,C-8821,70,SCORED,0.0015483509936006952,,
original_hierarchy,C-8821,71,SCORED,0.018689934131146224,,
original_hierarchy,C-8821,72,SCORED,0.0007328957629654832,,
original_hierarchy,C-8821,73,SCORED,0.0052950756218884155,,
original_hierarchy,C-8821,74,SCORED,0.0002522175107729438,,
original_hierarchy,C-8821,75,SCORED,0.0036357442699456732,,
original_hierarchy,C-8821,76,SCORED,0.00023699868438501175,,
original_hierarchy,C-8821,77,SCORED,0.00034663313302035845,,
original_hierarchy,C-8821,78,SCORED,0.021769654975624504,,
original_hierarchy,C-8821,79,SCORED,0.005714077170561729,,
original_hierarchy,C-8821,80,SCORED,0.009220386164445926,,
original_hierarchy,C-8822,0,SCORED,0.011765669218790397,,
original_hierarchy,C-8822,1,SCORED,0.003730893504955828,,
original_hierarchy,C-8822,2,SCORED,0.00117302064031215,,
original_hierarchy,C-8822,3,SCORED,0.002884356712495874,,
original_hierarchy,C-8822,4,SCORED,0.0024390736697754226,,
original_hierarchy,C-8822,5,SCORED,0.00874236617755168,,
original_hierarchy,C-8822,6,SCORED,0.0011314653840937515,,
original_hierarchy,C-8822,7,SCORED,8.12772103282503e-05,,
original_hierarchy,C-8822,8,SCORED,0.0007306252585585751,,
original_hierarchy,C-8822,9,SCORED,0.004979561141964323,,
original_hierarchy,C-8822,10,SCORED,0.013881584809051287,,
original_hierarchy,C-8822,11,SCORED,0.00018243916697209452,,
original_hierarchy,C-8822,12,SCORED,0.007629743670099165,,
original_hierarchy,C-8822,13,SCORED,7.759976907545938e-06,,
original_hierarchy,C-8822,14,SCORED,1.7698682592013964e-06,,
original_hierarchy,C-8822,15,SCORED,0.003167228008801974,,
original_hierarchy,C-8822,16,SCORED,0.00047261229575422045,,
original_hierarchy,C-8822,17,SCORED,0.014607864343772335,,
original_hierarchy,C-8822,18,SCORED,0.06982886701106181,,
original_hierarchy,C-8822,19,SCORED,0.0025689491024879305,,
original_hierarchy,C-8822,20,SCORED,0.0022530874384685,,
original_hierarchy,C-8822,21,SCORED,0.023026074796316662,,
original_hierarchy,C-8822,22,SCORED,0.0028882908973550236,,
original_hierarchy,C-8822,23,SCORED,0.0028894043209003097,,
original_hierarchy,C-8822,24,SCORED,0.005777339041870092,,
original_hierarchy,C-8822,25,SCORED,0.003974649023477113,,
original_hierarchy,C-8822,26,SCORED,0.014827355915740227,,
original_hierarchy,C-8822,27,SCORED,0.015682464839811765,,
original_hierarchy,C-8822,28,SCORED,0.005493289721603192,,
original_hierarchy,C-8822,29,SCORED,0.0014552282650803286,,
