margin_id	total	row_zero	column_zero	support_lower	support_upper	support_size	transport_multiplier	predicted_log_odds	transport_bias	drift_standard_deviation	drift_variance	mean_squared_canonical_error	empirical_excess_log_loss	empirical_monte_carlo_standard_error	exact_expected_excess_log_loss	curvature_integral_risk	exact_minus_integral	information_lower	information_upper	theorem_lower_bound	theorem_upper_bound	finite_support_upper_bound	within_information_envelope	within_finite_support_envelope	exact_expected_excess_log_loss_per_cell
balanced	96	48	48	0	48	49	1.0	0.8	0.0	0.5	0.25	0.25	0.7221180179529552	0.0008475953643183124	0.7233847464273641	0.7233847464273617	2.3314683517128287e-15	5.4654947203753705	6.029191705446927	0.6831868400469213	0.7536489631808658	72.0	true	true	0.007535257775285042
balanced	96	48	48	0	48	49	1.0	0.8	0.0	1.0	1.0	1.0	2.8364684570538037	0.0016607513355522507	2.8349313407482146	2.834931340748204	1.0658141036401503e-14	4.984349618792146	6.063157894736917	2.492174809396073	3.0315789473684585	288.0	true	true	0.029530534799460568
balanced	96	48	48	0	48	49	1.25	1.0	0.19999999999999996	0.0	0.0	0.03999999999999998	0.11564616878589502	0.00048278516835573827	0.11573218349372247	0.1157321834937176	4.871103520542874e-15	5.699587816686571	5.82703796960705	0.11399175633373136	0.11654075939214094	11.519999999999994	true	true	0.001205543578059609
balanced	96	48	48	0	48	49	1.25	1.0	0.19999999999999996	0.25	0.0625	0.10249999999999998	0.30153619534374815	0.000552049340579184	0.3010975709828134	0.30109757098281015	3.2751579226442118e-15	5.663979959253758	5.94999480413596	0.29027897291175503	0.3049372337119679	29.519999999999996	true	true	0.003136433031070973
balanced	96	48	48	0	48	49	1.25	1.0	0.19999999999999996	0.5	0.25	0.29	0.8525265867388497	0.0009281969700045805	0.853348092479042	0.8533480924790365	5.440092820663267e-15	5.4654947203753705	6.029191705446927	0.7924967344544287	0.8742327972898043	83.52	true	true	0.00888904262999002
balanced	96	48	48	0	48	49	1.25	1.0	0.19999999999999996	1.0	1.0	1.04	3.0071523258396975	0.0017247570478583682	3.0059629138566955	3.0059629138566764	1.9095836023552692e-14	4.984349618792146	6.063157894736917	2.591861801771916	3.152842105263197	299.52	true	true	0.03131211368600725
row_sparse	96	24	66	0	24	25	0.5	0.4	-0.4	0.0	0.0	0.16000000000000003	0.2604242527575014	0.0007030543619360145	0.25987887360700207	0.25987887360700096	1.1102230246251565e-15	3.0892839739827984	3.5477766648620026	0.2471427179186239	0.28382213318896027	11.520000000000003	true	true	0.002707071600072938
row_sparse	96	24	66	0	24	25	0.5	0.4	-0.4	0.25	0.0625	0.22250000000000003	0.34014438900722577	0.0005584505076615833	0.34088103130588165	0.34088103130588115	4.996003610813204e-16	2.7723093634765537	3.5477766648620026	0.30841941668676665	0.39469015396589785	16.020000000000003	true	true	0.003550844076102934
row_sparse	96	24	66	0	24	25	0.5	0.4	-0.4	0.5	0.25	0.41000000000000003	0.581866571567509	0.0007103387845544325	0.582534476022373	0.5825344760223748	-1.887379141862766e-15	2.4467156248344755	3.648509925310192	0.5015767030910675	0.7479445346885893	29.520000000000003	true	true	0.006068067458566385
row_sparse	96	24	66	0	24	25	0.5	0.4	-0.4	1.0	1.0	1.16	1.5294158917773553	0.0011197674255616899	1.5294229493070957	1.5294229493071052	-9.547918011776346e-15	1.8167363030014734	4.040869987536787	1.0537070557408545	2.3437045927713362	83.52	true	true	0.015931489055282248
row_sparse	96	24	66	0	24	25	0.75	0.6000000000000001	-0.19999999999999996	0.0	0.0	0.03999999999999998	0.06322922480189143	0.00035152718096800585	0.06340633522664157	0.0634063352266423	-7.216449660063518e-16	3.0892839739828015	3.3282835476663823	0.061785679479656	0.06656567095332762	2.8799999999999986	true	true	0.0006604826586108498
row_sparse	96	24	66	0	24	25	0.75	0.6000000000000001	-0.19999999999999996	0.25	0.0625	0.10249999999999998	0.15180883605161577	0.0003774439247129286	0.15209515000304602	0.15209515000304757	-1.5543122344752192e-15	2.7723093634765563	3.385207642713419	0.14208085487817348	0.17349189168906268	7.379999999999999	true	true	0.001584324479198396
row_sparse	96	24	66	0	24	25	0.75	0.6000000000000001	-0.19999999999999996	0.5	0.25	0.29	0.4161743936118987	0.0006179111079772786	0.416506222249201	0.41650622224920575	-4.773959005888173e-15	2.4467156248344755	3.648509925310192	0.35477376560099894	0.5290339391699778	20.88	true	true	0.00433860648176251
row_sparse	96	24	66	0	24	25	0.75	0.6000000000000001	-0.19999999999999996	1.0	1.0	1.04	1.4508658638217447	0.0011404228457403093	1.4501039610103488	1.4501039610103597	-1.0880185641326534e-14	1.8167363030014734	4.040869987536787	0.9447028775607662	2.1012523935191294	74.88	true	true	0.0151052495938578
row_sparse	96	24	66	0	24	25	1.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.089283973982805	3.089283973982893	0.0	0.0	0.0	true	true	0.0
row_sparse	96	24	66	0	24	25	1.0	0.8	0.0	0.25	0.0625	0.0625	0.0961433112497244	0.00031017930817789656	0.09637547185392922	0.09637547185393042	-1.1934897514720433e-15	2.7723093634765563	3.385207642713419	0.08663466760864239	0.10578773883479434	4.5	true	true	0.001003911165145096
row_sparse	96	24	66	0	24	25	1.0	0.8	0.0	0.5	0.25	0.25	0.3829860688100075	0.0006172127646800918	0.3835441716297478	0.3835441716297524	-4.6074255521944e-15	2.4467156248344755	3.648509925310192	0.30583945310430943	0.456063740663774	18.0	true	true	0.003995251787809873
row_sparse	96	24	66	0	24	25	1.0	0.8	0.0	1.0	1.0	1.0	1.505205939019854	0.0012101246103747186	1.5038511758673225	1.5038511758673287	-6.217248937900877e-15	1.8167363030014734	4.040869987536787	0.9083681515007367	2.0204349937683936	72.0	true	true	0.01566511641528461
row_sparse	96	24	66	0	24	25	1.25	1.0	0.19999999999999996	0.0	0.0	0.03999999999999998	0.060022908309829814	0.0003515271809680086	0.06011999788508003	0.06011999788507687	3.164135620181696e-15	2.8367948418231617	3.089283973982893	0.056735896836463205	0.06178567947965783	2.8799999999999986	true	true	0.0006262499779695836
row_sparse	96	24	66	0	24	25	1.25	1.0	0.19999999999999996	0.25	0.0625	0.10249999999999998	0.16343114455955418	0.00041606349306871134	0.16418212681653382	0.16418212681653216	1.6653345369377348e-15	2.7723093634765563	3.385207642713419	0.14208085487817348	0.17349189168906268	7.379999999999999	true	true	0.0017102304876722273
row_sparse	96	24	66	0	24	25	1.25	1.0	0.19999999999999996	0.5	0.25	0.29	0.4738240771198373	0.0007085150438835222	0.47410845412201535	0.47410845412201774	-2.3869795029440866e-15	2.4467156248344755	3.648509925310192	0.35477376560099894	0.5290339391699778	20.88	true	true	0.00493862973043766
row_sparse	96	24	66	0	24	25	1.25	1.0	0.19999999999999996	1.0	1.0	1.04	1.6789959473296834	0.0013211324702668793	1.6811247238360159	1.68112472383602	-4.218847493575595e-15	1.8167363030014734	4.040869987536787	0.9447028775607662	2.1012523935191294	74.88	true	true	0.017511715873291832
overlap_shifted	96	76	31	11	31	21	0.5	0.4	-0.4	0.0	0.0	0.16000000000000003	0.22909988272138515	0.0006580383610576234	0.22865279049239923	0.2286527904923924	6.827871601444713e-15	2.7063405288962232	3.145994300075845	0.2165072423116979	0.2516795440060676	8.000000000000002	true	true	0.002381799900962492
overlap_shifted	96	76	31	11	31	21	0.5	0.4	-0.4	0.25	0.0625	0.22250000000000003	0.29827441361828066	0.0005207478868686632	0.29853342095517954	0.29853342095518026	-7.216449660063518e-16	2.408193440538301	3.145994300075845	0.26791152025988607	0.3499918658834378	11.125000000000002	true	true	0.003109723134949787
overlap_shifted	96	76	31	11	31	21	0.5	0.4	-0.4	0.5	0.25	0.41000000000000003	0.5078821989530218	0.0006593534724922607	0.5073402319094684	0.5073402319094636	4.773959005888173e-15	2.106850335667135	3.2439234859994595	0.4319043188117627	0.6650043146298893	20.5	true	true	0.005284794082390296
overlap_shifted	96	76	31	11	31	21	0.5	0.4	-0.4	1.0	1.0	1.16	1.3278819778148925	0.0010393422681188743	1.3297873476139275	1.3297873476139355	-7.993605777301127e-15	1.5378652527879253	3.629759738137563	0.8919618466169966	2.105260648119786	57.99999999999999	true	true	0.013851951537645077
overlap_shifted	96	76	31	11	31	21	0.75	0.6000000000000001	-0.19999999999999996	0.0	0.0	0.03999999999999998	0.05559126656079689	0.0003290191805288111	0.0556679204463037	0.0556679204463036	9.71445146547012e-17	2.7063405288962263	2.93427734143114	0.0541268105779245	0.05868554682862277	1.9999999999999991	true	true	0.0005798741713156636
overlap_shifted	96	76	31	11	31	21	0.75	0.6000000000000001	-0.19999999999999996	0.25	0.0625	0.10249999999999998	0.13324332245769246	0.0003518279355130849	0.13283415173580546	0.13283415173581184	-6.38378239159465e-15	2.4081934405383034	2.9889652482339035	0.12341991382758803	0.15318446897198754	5.124999999999999	true	true	0.0013836890805813068
overlap_shifted	96	76	31	11	31	21	0.75	0.6000000000000001	-0.19999999999999996	0.5	0.25	0.29	0.36274318279243356	0.0005753932955415936	0.3631893700654213	0.36318937006542285	-1.5543122344752192e-15	2.106850335667135	3.2439234859994595	0.3054932986717346	0.4703689054699216	14.499999999999998	true	true	0.0037832226048481383
overlap_shifted	96	76	31	11	31	21	0.75	0.6000000000000001	-0.19999999999999996	1.0	1.0	1.04	1.267826661654304	0.0010650788933716008	1.2674350257015372	1.2674350257015516	-1.4432899320127035e-14	1.5378652527879253	3.629759738137563	0.7996899314497212	1.8874750638315327	52.0	true	true	0.013202448184391013
overlap_shifted	96	76	31	11	31	21	1.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7063405288962294	2.7063405288963067	0.0	0.0	0.0	true	true	0.0
overlap_shifted	96	76	31	11	31	21	1.0	0.8	0.0	0.25	0.0625	0.0625	0.08401743089689576	0.0002903973218059454	0.0844518321162227	0.08445183211622814	-5.440092820663267e-15	2.4081934405383034	2.9889652482339035	0.07525604501682198	0.09340516400730949	3.125	true	true	0.0008797065845439865
overlap_shifted	96	76	31	11	31	21	1.0	0.8	0.0	0.5	0.25	0.25	0.3361423162316373	0.0005782934928340129	0.33635545782116655	0.33635545782116727	-7.216449660063518e-16	2.106850335667135	3.2439234859994595	0.2633562919583919	0.40549043574993243	12.5	true	true	0.0035037026856371517
overlap_shifted	96	76	31	11	31	21	1.0	0.8	0.0	1.0	1.0	1.0	1.3234335950935088	0.0011366205381442718	1.3223996533889402	1.3223996533889508	-1.0658141036401503e-14	1.5378652527879253	3.629759738137563	0.7689326263939626	1.8148798690687815	50.0	true	true	0.013774996389468127
overlap_shifted	96	76	31	11	31	21	1.25	1.0	0.19999999999999996	0.0	0.0	0.03999999999999998	0.05296341520941419	0.00032901918052881233	0.052552561323907766	0.052552561323909154	-1.3877787807814457e-15	2.4684657863414445	2.7063405288963067	0.049369315726828865	0.05412681057792611	1.9999999999999991	true	true	0.0005474225137907059
overlap_shifted	96	76	31	11	31	21	1.25	1.0	0.19999999999999996	0.25	0.0625	0.10249999999999998	0.14390494610630966	0.0003909238884900429	0.14428999426685052	0.14428999426685737	-6.855627177060342e-15	2.4081934405383034	2.9889652482339035	0.12341991382758803	0.15318446897198754	5.124999999999999	true	true	0.0015030207736130262
overlap_shifted	96	76	31	11	31	21	1.25	1.0	0.19999999999999996	0.5	0.25	0.29	0.41802588144105046	0.0006669218541834105	0.4177420273471215	0.4177420273471248	-3.2751579226442118e-15	2.106850335667135	3.2439234859994595	0.3054932986717346	0.4703689054699216	14.499999999999998	true	true	0.0043514794515325155
overlap_shifted	96	76	31	11	31	21	1.25	1.0	0.19999999999999996	1.0	1.0	1.04	1.48532121030292	0.001246102702900358	1.4855847628465488	1.4855847628465622	-1.3322676295501878e-14	1.5378652527879253	3.629759738137563	0.7996899314497212	1.8874750638315327	52.0	true	true	0.01547484127965155
